Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita
1,Sé,0.0207,0.1120,0.7111,0.0027457256120900406,0.2159
2,Parque Dom Pedro,0.0361,0.0252,0.5132,0.005464522916951178,0.2393
3,Praça João Mendes,0.1085,0.0422,0.1836,0.00229611905389316,0.3045
4,Ladeira da Memória,0.1526,0.0198,0.2232,0.0036117592070767594,0.5103
5,República,0.0947,0.0304,0.8856,0.0036040654050113583,0.4287
6,Santa Ifigênia,0.1393,0.0359,0.3798,0.003987793783023242,0.2149
7,Luz,0.1153,0.1209,0.3469,0.007434136245693875,0.2760
8,Bom Retiro,0.0776,0.0577,0.1492,0.006876816458581378,0.2114
9,Ponte Pequena,0.0472,0.1128,0.1632,0.0062406352002985195,0.1929
10,Canindé,0.0103,0.1240,0.0664,0.0039724061788924386,0.1189
11,Bom Jardim,0.0172,0.0259,0.0386,0.0023971002060015506,0.2238
12,Pari,0.0911,0.0339,0.2085,0.00673977060929142,0.2163
13,João Teodoro,0.0091,0.0047,0.0919,0.0018907518575723363,0.1509
14,Oriente,0.0211,0.0345,0.2765,0.0033602680520639586,0.1828
15,Bresser,0.0534,0.0029,0.1403,0.0037016805187161357,0.1976
16,Brás,0.0767,0.0602,0.1829,0.005245249558087244,0.2277
17,Gasômetro,0.0442,0.0968,0.0926,0.0033347823327223173,0.1987
18,Independência,0.1218,0.0662,0.2384,0.01220188921309716,0.3257
19,Cambuci,0.1313,0.0808,0.1628,0.006752753900276785,0.3600
20,Glicério,0.1461,0.0636,0.0807,0.005194278119403961,0.4373
21,Aclimação,0.1184,0.0679,0.0959,0.005463561191693002,0.4386
22,Pires da Mota,0.0863,0.0794,0.0834,0.0024057557333251266,0.4478
23,Centro Cultural,0.0338,0.5819,0.1773,0.0015983873790870922,0.3705
24,Liberdade,0.0723,0.9354,0.1781,0.0028606517804419707,0.3194
25,Treze de Maio,0.1165,0.0706,0.1202,0.0020604963656402496,0.2957
26,Bexiga,0.0904,0.1507,0.1328,0.002488944968157277,0.3740
27,Bela Vista,0.1111,0.2274,0.4439,0.004510491460841433,0.6372
28,São Carlos do Pinhal,0.0574,0.1570,0.2814,0.0014921167380587384,0.4885
29,Masp,0.0839,0.0863,0.4494,0.0027539002767845294,0.6006
30,Higienópolis,0.1232,0.0668,0.1839,0.003260729487842831,0.8219
31,Vila Buarque,0.1269,0.6525,0.2682,0.004307567431366477,0.4681
32,Consolação,0.0542,0.2655,0.4774,0.002751976826268179,0.5728
33,Pacaembu,0.0116,0.0095,0.0309,0.004349402480097096,0.7021
34,FAAP,0.0479,0.0958,0.0986,0.0035800222735569796,1.0000
35,Santa Cecília,0.2535,0.1489,0.3542,0.006928749622522837,0.3488
36,Marechal Deodoro,0.2729,0.1936,0.3279,0.006837866585625285,0.4558
37,Rudge,0.0292,0.0448,0.1882,0.004074349056259005,0.3457
38,Catumbi,0.0240,0.0398,0.0508,0.003916145251289193,0.2532
39,Belém,0.0593,0.0566,0.0886,0.007727943312066382,0.2743
40,Quarta Parada,0.0499,0.1056,0.1747,0.006126189894575678,0.2236
41,Belenzinho,0.1396,0.1359,0.2416,0.008660816812496275,0.2356
42,Celso Garcia,0.0337,0.0068,0.0865,0.003072231337240503,0.2088
43,Mooca,0.1771,0.6653,0.2345,0.013069365395971142,0.3636
44,Alto da Mooca,0.1162,0.0715,0.1786,0.006811419141025469,0.3489
45,Parque da Mooca,0.2107,0.1003,0.3314,0.018341062398658202,0.3374
46,Água Rasa,0.2297,0.1703,0.1641,0.015186122689214637,0.2839
47,Vila Bertioga,0.1457,0.0361,0.1185,0.009390285420822122,0.2973
48,Regente Feijó,0.1515,0.1020,0.1471,0.009807674182870135,0.2817
49,Ana Rosa,0.0848,0.1088,0.1980,0.004542228394361213,0.5037
50,Jardim da Glória,0.0563,0.0291,0.0183,0.004252268229021407,0.3474
51,Chácara Klabin,0.1019,0.0455,0.0709,0.004691776672007448,0.6723
52,Vila Mariana,0.0642,0.1367,0.1458,0.0028664221319910214,0.8334
53,Santa Cruz,0.0842,0.1593,0.2281,0.00521832125085834,0.4964
54,Vila Clementino,0.0552,0.0753,0.2942,0.004505682834550558,0.4938
55,França Pinto,0.0983,0.1868,0.1552,0.005392393522588041,0.4362
56,Rodrigues Alves,0.1369,0.1740,0.2191,0.004979332524201816,0.5787
57,Paraíso,0.1541,0.0835,0.4468,0.0046297453928551505,0.6162
58,Bosque da Saúde,0.1949,0.0584,0.1626,0.008170336930826949,0.4170
59,Saúde,0.3340,0.2792,0.3132,0.012541378229232986,0.4593
60,Planalto Paulista,0.1397,0.0748,0.1523,0.015467427327230868,0.5161
61,Mirandópolis,0.1780,0.2366,0.1854,0.00834056230152395,0.4990
62,Parque Ibirapuera,0.0289,0.0115,0.1979,0.01364207278721444,0.5914
63,Jardim Luzitânia,0.0133,0.0224,0.1252,0.004956251118005612,0.5650
64,Moema,0.2114,0.0702,0.4085,0.008421347223210663,0.6589
65,Vila Helena,0.1701,0.1694,0.1737,0.005040402078095938,0.7180
66,Bandeirantes,0.0692,0.0630,0.2229,0.006415669197286395,0.7040
67,Vila Nova Conceição,0.0670,0.0203,0.0867,0.005408742851977019,0.7240
68,Chácara Itaim,0.1739,0.1093,0.7281,0.009810078496015572,0.5577
69,Vila Olímpia,0.0635,0.0524,0.2322,0.004309971744511915,0.8360
70,Hélio Pelegrino,0.0741,0.1792,0.2011,0.004971157859507328,0.5899
71,Brooklin,0.1801,0.0573,0.2040,0.011264207086376392,0.5644
72,Vila Cordeiro,0.0639,0.1692,0.2420,0.008496361793348324,0.5380
73,Berrini,0.0555,0.0162,0.9672,0.009491747435559599,0.6646
74,Campinas,0.0808,0.0572,0.3586,0.0023600737835618073,0.8296
75,Pamplona,0.0904,0.0348,0.1243,0.002468748737735599,0.8665
76,Jardins,0.0691,0.0214,0.2343,0.011430104693411604,0.8161
77,Clínicas,0.1330,0.1214,0.3855,0.006189663761615237,0.7495
78,Oscar Freire,0.1316,0.0080,0.2467,0.004809107153504816,0.5642
79,Trianon,0.0677,0.0986,0.4572,0.002876039384572773,0.6985
80,Jardim Paulistano,0.1247,0.0620,0.2727,0.004759578302708796,0.5360
81,Jardim Europa,0.0801,0.0123,0.4121,0.014811530701155417,0.9061
82,Pinheiros,0.0713,0.2237,0.7430,0.00974131514005605,0.3869
83,Vila Madalena,0.1411,0.0969,0.2751,0.01054579831851956,0.6226
84,PUC,0.1049,0.1676,0.1263,0.0035256847964700833,0.8119
85,Cardoso de Almeida,0.0319,0.0382,0.0323,0.003048188205786124,0.7242
86,Zequinha de Abreu,0.0236,0.0093,0.0386,0.0023855595029034487,0.6014
87,Sumaré,0.1036,0.0488,0.1073,0.006691684346382663,0.6313
88,Perdizes,0.2872,0.0929,0.2386,0.008100130986980163,0.6000
89,Vila Anglo Brasileira,0.0886,0.0116,0.0539,0.0038045851213408762,0.5386
90,Pompéia,0.0838,0.0483,0.0964,0.0028851757745254366,0.8036
91,Santa Marina,0.0149,0.3328,0.2414,0.014202758612730551,0.1918
92,Barra Funda,0.0021,0.0190,0.1279,0.005684277138444198,0.3128
93,Francisco Matarazzo,0.0572,1.0000,0.3018,0.0050553088195976524,0.5135
94,Água Branca,0.0253,0.0735,0.1936,0.00341941415544173,0.5257
95,Vila Beatriz,0.1118,0.0681,0.0955,0.008831523045822362,0.5471
96,Alto de Pinheiros,0.0457,0.0662,0.1186,0.01217399918061008,0.7284
97,Boaçava,0.1052,0.0288,0.1380,0.01512024450902964,0.6215
98,Vila Anastácio,0.0155,0.0148,0.0841,0.007917884050555974,0.3084
99,Lapa de Baixo,0.0514,0.0315,0.2270,0.011670055145326303,0.3529
100,Lapa,0.1226,0.3057,0.4000,0.010829988132310314,0.4922
101,Vila Ipojuca,0.1384,0.0649,0.1088,0.008101092712238338,0.5365
102,Alto da Lapa,0.0801,0.0552,0.0809,0.0076913977522557265,0.5234
103,Gavião Peixoto,0.0166,0.0301,0.0289,0.0033160286901879016,0.4781
104,Bela Aliança,0.0447,0.0567,0.0358,0.0034309548585398316,0.6528
105,Vila Hamburguesa,0.0914,0.1121,0.1634,0.007173508700728411,0.5438
106,CEASA,0.0248,0.0010,0.2074,0.009510501078094015,0.1080
107,Vila Leopoldina,0.0963,0.1608,0.1271,0.004407105995587605,0.6604
108,Emissário,0.0219,0.0069,0.1538,0.009161394809376437,0.2229
109,Vila Zatt,0.7607,0.4220,0.3403,0.05867581972652381,0.2021
110,Pirituba,0.3195,0.1911,0.1694,0.02351033566134961,0.2795
111,São Domingos,0.3225,0.1464,0.1754,0.027974664309798634,0.2934
112,Jardim Mutinga,0.2226,0.0980,0.1374,0.019810097730520736,0.1651
113,Vila Jaguara,0.1530,0.1238,0.1818,0.021847512689964783,0.2474
114,Parque do Jaraguá,0.0000,0.0000,0.0021,0.02351995291393136,0.0000
115,Nova Jaraguá,0.3109,0.2323,0.1265,0.037400533565173234,0.1393
116,Parada de Taipas,1.0000,0.7435,0.3185,0.07468950700039816,0.1602
117,Parque Morro Doce,0.4059,0.2148,0.1637,0.07343541726373777,0.1596
118,Anhanguera,0.1061,0.0596,0.0397,0.08717029653836611,0.1832
119,Perus,0.5525,0.4301,0.1382,0.11392260804502415,0.1368
120,Vista Alegre,0.0000,0.0000,0.0000,0.03570260762186502,0.0000
121,Jardim Damasceno,0.5717,0.2513,0.1553,0.027588531618641315,0.1515
122,Vila Souza,0.3163,0.1425,0.0951,0.010620332026028134,0.1146
123,Vila Terezinha,0.4627,0.2117,0.0951,0.012059073012258151,0.1439
124,Brasilândia,0.4108,0.3610,0.1748,0.015304895758599266,0.1923
125,Vila Morro Grande,0.3331,0.1982,0.1224,0.019862992619720368,0.1813
126,Itaberaba,0.2158,0.1049,0.1191,0.009974052652534435,0.2403
127,Freguesia do Ó,0.3416,0.2265,0.1968,0.023362710834219726,0.2771
128,Carandiru,0.0114,0.0605,0.1355,0.0018287205784200393,0.3868
129,Santana,0.0291,0.0660,0.1431,0.0026139692517200457,0.3674
130,Zaki Narchi,0.0207,0.0164,0.0382,0.003429512270652569,0.1456
131,Tietê,0.0078,0.0775,0.1079,0.003779580264628322,0.2697
132,Parque Anhembi,0.0000,0.0409,0.0383,0.015076005147153581,0.0000
133,Alfredo Pujol,0.2308,0.1512,0.2016,0.010341912563786427,0.4967
134,Santa Terezinha,0.1826,0.1685,0.1455,0.012073498891130779,0.3680
135,Jardim São Paulo,0.2417,0.1496,0.1726,0.014004162346917384,0.3833
136,Casa Verde,0.2063,0.1892,0.2323,0.015644865637364183,0.2704
137,Parque Peruche,0.3384,0.1396,0.2067,0.018843563846054717,0.2464
138,Limão,0.0497,0.0227,0.1193,0.008261219967724501,0.1921
139,Jardim Primavera,0.1539,0.1100,0.1402,0.009268627175662965,0.2291
140,Vila Santa Maria,0.3001,0.1962,0.1607,0.013365095912859998,0.2004
141,Cachoeirinha,0.5020,0.3613,0.2163,0.02301312370287306,0.2275
142,Jardim Peri,0.4200,0.1118,0.1749,0.02133491312735743,0.1507
143,Reserva da Cantareira,0.0000,0.0000,0.0000,0.020994943248592517,0.0000
144,Mandaqui,0.6619,0.2054,0.2978,0.02656525594394296,0.3144
145,Horto Florestal,0.0284,0.0624,0.0237,0.016454157442118568,0.3372
146,ETA Guaraú,0.0000,0.0000,0.0000,0.020613138321096985,0.0000
147,Parque Palmas do Tremembé,0.2147,0.0814,0.1317,0.019572551591751475,0.2469
148,Tremembé,0.1448,0.1214,0.0776,0.015946366505802088,0.1643
149,Cantareira,0.0000,0.0000,0.0007,0.13879859357298244,0.0000
150,Jardim das Pedras,0.3265,0.1342,0.1016,0.07737127788281956,0.1336
151,Jardim Guapira,0.6943,0.2674,0.2079,0.02637675779334063,0.1599
152,Parada Inglesa,0.2227,0.2245,0.1442,0.011669093420068128,0.2374
153,Tucuruvi,0.1031,0.1446,0.1065,0.017238925252789486,0.4328
154,Vila Gustavo,0.2879,0.1642,0.1698,0.016628229713848267,0.2866
155,Cohab Jova Real,0.2042,0.0701,0.0625,0.012241800811311428,0.1495
156,Jaçanã,0.2781,0.2149,0.1743,0.018572357323249324,0.2054
157,Parque Edu Chaves,0.1243,0.0859,0.0691,0.0052851611563015126,0.2102
158,Vila Medeiros,0.3829,0.1420,0.0785,0.016109859799691862,0.2577
159,Jardim Brasil,0.4064,0.1682,0.2890,0.021848955277852047,0.1782
160,Jardim Japão,0.3209,0.1231,0.1257,0.019053219952336897,0.2395
161,Parque Novo Mundo,0.2995,0.1130,0.3286,0.026512841917372413,0.1542
162,Vila Maria,0.1003,0.3884,0.1764,0.011257955872198255,0.2241
163,Vila Isolina Mazzei,0.3009,0.1145,0.1714,0.018248736773873387,0.2919
164,Vila Guilherme,0.0370,0.0428,0.1040,0.00821794233110662,0.2087
165,Coroa,0.0202,0.0698,0.1418,0.008385763388658181,0.2489
166,Gomes Cardim,0.2082,0.4012,0.3004,0.011696502589926121,0.3713
167,Tatuapé,0.1104,0.1534,0.3711,0.007543772925125842,0.3348
168,Chácara do Piqueri,0.1425,0.1304,0.2193,0.009549450951050108,0.3469
169,Parque São Jorge,0.1422,0.7801,0.1883,0.012121104291410447,0.3708
170,Penha,0.2197,0.2267,0.1966,0.018472818759028196,0.2197
171,Tiquatira,0.2575,0.1346,0.1466,0.015602068863375385,0.2247
172,Vila Esperança,0.1696,0.1149,0.1129,0.01100309867878184,0.2775
173,Vila Ré,0.1698,0.0879,0.0893,0.010013002525490528,0.2101
174,Rui Barbosa,0.3096,0.2614,0.1000,0.013042437088742238,0.1727
175,Estação Eng. Goulart,0.2013,0.0649,0.0997,0.009296517208150045,0.1766
176,Cangaíba,0.2966,0.1572,0.1848,0.016038211267957816,0.2158
177,Parque Ecológico do Tietê,0.0645,0.0095,0.0187,0.0255265926651138,0.1294
178,USP Leste I,0.0000,0.0520,0.0128,0.0024129686727614405,0.0000
179,USP Leste II,0.0000,0.0000,0.0000,0.005906435673082656,0.0000
180,Ermelino Matarazzo,0.4503,0.2039,0.1430,0.021582076518708443,0.1972
181,Parque Buturussu,0.2951,0.2221,0.1259,0.017879915137363218,0.1977
182,Ponte Rasa,0.2973,0.1676,0.1688,0.01756879701634356,0.2242
183,Burgo Paulista,0.2765,0.2218,0.0773,0.014023396852080885,0.1859
184,Limoeiro,0.1566,0.0512,0.0493,0.006892204062712182,0.1911
185,Laranja da China,0.1845,0.0851,0.0496,0.006333922550341509,0.1272
186,Pedro José Nunes,0.0744,0.0427,0.0263,0.004144074137476703,0.2471
187,Parque Cruzeiro do Sul,0.3056,0.1564,0.0986,0.012017237963527532,0.1433
188,Vila Jacuí,0.1968,0.5284,0.0821,0.010188036522478405,0.1720
189,Parada XV,0.3086,0.2307,0.1058,0.015602068863375385,0.1761
190,Itaquera,0.2137,0.2437,0.1523,0.0136165870678728,0.2210
191,Arena Corinthians,0.0000,0.0533,0.0860,0.006746021823469559,0.0000
192,Vila Campanela,0.2467,0.1276,0.0928,0.011085326188355817,0.2202
193,Araucárias,0.1625,0.0573,0.0652,0.006231017947716769,0.1564
194,Parque Guarani,0.1637,0.1334,0.0480,0.006080507944812358,0.1287
195,Rio Verde,0.2346,0.1082,0.0619,0.011481076132094887,0.1826
196,Saudade,0.2279,0.1393,0.0825,0.009967320575727209,0.1525
197,São Miguel Paulista,0.1528,0.1502,0.0768,0.01455330746933539,0.2030
198,Cidade Nitro-Operária,0.1867,0.1976,0.2369,0.017211035220302408,0.2060
199,Jardim Helena,0.6444,0.3983,0.2046,0.032923221625738845,0.1665
200,Jardim Romano,0.2109,0.1001,0.0907,0.011096866891453918,0.1583
201,Vila Curuçá,0.4729,0.4069,0.1645,0.0241955649077994,0.1693
202,Jardim Robru,0.4916,0.2831,0.1135,0.021599868435984684,0.1637
203,Lageado,0.3613,0.1853,0.0875,0.013317490512580328,0.1645
204,Fábrica Bandeirantes,0.7288,0.4501,0.2264,0.02958892015564562,0.1273
205,Fazenda Itaim,0.6801,0.3434,0.2204,0.022227394166943967,0.1414
206,Itaim Paulista,0.2908,0.2780,0.1573,0.014531187788397362,0.1517
207,Jardim das Oliveiras,0.5005,0.2982,0.1584,0.022124970426948314,0.1571
208,Vila Califórnia,0.2693,0.1717,0.2854,0.016351252839493825,0.2364
209,Vila Carrão,0.2672,0.1728,0.1279,0.021171419833467653,0.2315
210,Jardim Anália Franco,0.2037,0.3589,0.2035,0.016062735262041283,0.3682
211,Vila Formosa,0.3937,0.0832,0.2028,0.02007505303914799,0.2160
212,Barreira Grande,0.2661,0.1575,0.0866,0.013468962240742914,0.1602
213,Aricanduva,0.2822,0.1834,0.2162,0.019531197405649944,0.2189
214,Frei Mont'Alverne,0.1649,0.2130,0.1226,0.010829026407052139,0.1702
215,Vila Matilde,0.2482,0.1445,0.1798,0.015876641424584392,0.2098
216,Cidade Patriarca,0.2551,0.1943,0.1229,0.016181027468796825,0.2268
217,Cidade A.E.Carvalho,0.2095,0.1393,0.1072,0.012779886093260421,0.2345
218,Artur Alvim,0.4327,0.2615,0.1843,0.01862236703667443,0.1969
219,Cidade Líder,0.3450,0.1439,0.1700,0.01671045722342224,0.1715
220,Santa Marcelina,0.2185,0.1273,0.1062,0.012788060757954911,0.2139
221,Parque Savoy,0.2813,0.1782,0.1759,0.0213863654286698,0.2427
222,Vila Carmosina,0.2819,0.1544,0.1659,0.016530133737514403,0.2493
223,Fazenda Caguaçu,0.1678,0.0593,0.1064,0.021135355136286085,0.1536
224,Parque do Carmo,0.0000,0.0749,0.0180,0.03738370337315517,0.0000
225,Gleba do Pêssego,0.2015,0.1200,0.1187,0.0494552788137696,0.1571
226,José Bonifácio,0.6477,0.4594,0.2046,0.020029371089384667,0.1862
227,Guaianases,0.4051,0.2656,0.1563,0.02271306542232241,0.1735
228,Juscelino Kubitschek,0.2807,0.1421,0.0872,0.020139488631445723,0.1554
229,Cidade Tiradentes,0.9681,0.7032,0.3156,0.045854579447161856,0.1409
230,Santa Etelvina,0.4884,0.4135,0.1381,0.026029094112510313,0.1696
231,Terceira Divisão,0.2235,0.1074,0.0817,0.054380754723513614,0.1681
232,Iguatemi,0.2673,0.2381,0.0946,0.024226340116061007,0.1834
233,Sítio Carrãozinho,0.4260,0.2328,0.1649,0.015545327073143052,0.1745
234,Parque São Rafael,0.4485,0.2673,0.1696,0.035439094901125026,0.1247
235,Rodolfo Pirani,0.5409,0.1778,0.2358,0.02721874825687297,0.1638
236,Ipiranga,0.0764,0.0957,0.1081,0.004421051011831144,0.4724
237,Sacomã,0.0518,0.0194,0.1164,0.004344112991177133,0.3239
238,Alto do Ipiranga,0.1220,0.0565,0.1120,0.007732751938357259,0.3248
239,Vila São José,0.0980,0.2818,0.1738,0.008537715979449856,0.3221
240,Vila Monumento,0.1228,0.0809,0.1884,0.007943369769897615,0.3609
241,Vila Independência,0.0613,0.0330,0.1224,0.008185243672328663,0.2407
242,Vila Carioca,0.1717,0.0294,0.1241,0.011978768953200526,0.1876
243,Moinho Velho,0.2836,0.2956,0.2000,0.01670564859713137,0.2696
244,Vila Heliópolis,0.3946,0.0600,0.1033,0.011194962867787782,0.1878
245,São João Clímaco,0.1557,0.0298,0.0666,0.009528292995370256,0.2511
246,Anchieta,0.1898,0.2290,0.0712,0.01043856595223303,0.2520
247,Vila das Mercês,0.6255,0.3010,0.2083,0.02254957212843264,0.2544
248,Parque do Estado,0.0000,0.0000,0.0211,0.021418102362189582,0.0000
249,Água Funda,0.2965,0.0828,0.1453,0.013286234441689637,0.1723
250,Jardim da Saúde,0.1215,0.0598,0.1297,0.008796900936528056,0.3294
251,Vila Gumercindo,0.1544,0.1361,0.1153,0.006596954408452411,0.3038
252,Jardim Previdência,0.1424,0.0674,0.1154,0.007973183252901044,0.2109
253,Tamanduateí,0.0321,0.0040,0.0688,0.005433266846060485,0.1427
254,Orfanato,0.2158,0.4720,0.2189,0.017035039498056355,0.3563
255,Vila Zelina,0.4148,0.2257,0.2080,0.023703642438242814,0.2261
256,Linhas Corrente,0.1866,0.0786,0.0937,0.012108601863054172,0.1804
257,Vila Ema,0.2794,0.1070,0.0807,0.012849611174478122,0.2000
258,Parque São Lucas,0.4393,0.1879,0.1582,0.021623430704809973,0.1757
259,Vila Cardoso Franco,0.2403,0.0785,0.1065,0.007880376765487142,0.1590
260,Parque Santa Madalena,0.2915,0.1081,0.0881,0.009850470956858929,0.1631
261,Jardim Colorado,0.3566,0.1249,0.1189,0.015400106559158607,0.2023
262,Teotônio Vilela,0.5394,0.1813,0.1909,0.016653715433189907,0.1634
263,Fazenda da Juta,0.4003,0.2567,0.1521,0.015847789666839137,0.1462
264,São Mateus,0.4240,0.1745,0.2151,0.020561205157155524,0.1974
265,Cidade IV Centenário,0.2802,0.3166,0.1569,0.015992529318194497,0.1938
266,Rio Claro,0.1188,0.0705,0.0634,0.010500116368756241,0.1587
267,Cidade Satélite,0.1596,0.1678,0.1014,0.014448960278823388,0.2144
268,Joaquim Nabuco,0.0885,0.0493,0.1095,0.009542238011613795,0.6244
269,Vieira de Moraes,0.1359,0.0435,0.1816,0.008236215111011948,0.6190
270,Campo Belo,0.0589,0.0309,0.0971,0.006663313451266496,0.4650
271,Congonhas,0.0000,0.0024,0.1329,0.008627637291089231,0.0000
272,Jardim Aeroporto,0.1235,0.0625,0.1289,0.009547527500533759,0.3139
273,Vila Santa Catarina,0.3893,0.1358,0.2680,0.015662176692011334,0.2850
274,Jabaquara,0.2269,0.2035,0.3403,0.013883465827016403,0.3614
275,Cidade Vargas,0.2422,0.2229,0.2414,0.016707572047647716,0.4202
276,Jardim Bom Clima,0.5865,0.2170,0.2315,0.02144262635627305,0.2303
277,Cupecê,0.3765,0.3290,0.2602,0.02004668214403182,0.2542
278,Jardim Miriam,0.8792,0.3964,0.2144,0.02471345395932672,0.1622
279,Vila Missionária,0.5288,0.1518,0.1765,0.014204682063246899,0.1422
280,Jurubatuba,0.1274,0.1978,0.2788,0.023205949617137175,0.3734
281,Vila São Pedro,0.2598,0.1676,0.1927,0.01503080406001935,0.4754
282,Campo Grande,0.2140,0.1767,0.2257,0.013096774565829134,0.2290
283,Vila Sabará,0.0677,0.0118,0.0365,0.011279113827878108,0.2779
284,Mar Paulista,0.3230,0.2465,0.1288,0.02638300900751877,0.2001
285,Pedreira,0.6731,0.3415,0.2710,0.06264149382860902,0.1514
286,Vila Socorro,0.0577,0.0872,0.1914,0.01410177746062216,0.2882
287,Parque Interlagos,0.1727,0.1347,0.1458,0.044992392753207835,0.3495
288,Jardim Represa,0.1382,0.2292,0.0876,0.03768664682948034,0.1813
289,Rio Bonito,0.3011,0.2167,0.2085,0.023842130875420035,0.2353
290,SESC Interlagos,0.3551,0.1576,0.0962,0.03541457090704156,0.1688
291,Jardim Presidente,0.4801,0.3682,0.1788,0.03666769891844377,0.2085
292,Vila Natal,0.4156,0.2446,0.1054,0.01996012687079606,0.1500
293,Grajaú,0.5448,0.3555,0.2690,0.026000242354765064,0.1724
294,Cocaia,0.7186,0.4868,0.1490,0.052574153826031596,0.1351
295,Belmira Marin,0.7231,0.4745,0.1938,0.059474532553438264,0.1705
296,Bororé,0.0263,0.0371,0.0158,0.28815981565650256,0.1188
297,Jaceguava,0.0184,0.0063,0.0079,0.1689121348569626,0.2838
298,Parelheiros,0.9224,0.7499,0.2738,0.5610262762575039,0.1364
299,Marsilac,0.0530,0.0155,0.0216,1.0,0.1525
300,Granja Julieta,0.2210,0.6310,1.0000,0.02966345386315419,0.6140
301,Chácara Flora,0.0791,0.0818,0.1805,0.02174701240048548,0.6179
302,Santo Amaro,0.1038,0.3384,0.2940,0.012363459056470585,0.6084
303,Vila Miranda,0.0654,0.8963,0.2840,0.013038590187709535,0.3126
304,Jardim São Luís,0.4980,0.4105,0.3447,0.01964083408508191,0.1848
305,Centro Empresarial,0.8061,0.5297,0.2601,0.0324721724796547,0.1841
306,Guarapiranga,0.5206,0.2198,0.1909,0.07276653734667696,0.1699
307,Jardim Capela,0.6613,0.3492,0.2390,0.09723282791465265,0.1715
308,Riviera,0.2652,0.2911,0.0820,0.03841082594888623,0.1242
309,Jardim Turquesa,0.4163,0.2073,0.1229,0.013602161189000171,0.1632
310,Morro do Índio,0.1792,0.0772,0.0820,0.005512609179859935,0.1379
311,Jardim Ângela,0.5607,0.4304,0.1639,0.022300966149194364,0.1496
312,Capão Redondo,0.2426,0.3353,0.1458,0.010549645219552258,0.2473
313,Jardim Sônia Ingá,0.1537,0.1544,0.0501,0.005067330385324842,0.2253
314,Adventista,0.6666,0.6083,0.2749,0.026219515713628995,0.1865
315,Parque Fernanda,0.7754,0.3743,0.3078,0.024633149900269092,0.1629
316,Morumbi,0.0985,0.0972,0.1377,0.01305349692921125,0.5735
317,Jóquei Clube,0.0273,0.0189,0.0764,0.016024266251714277,0.7756
318,Fazenda Morumbi,0.1451,0.0391,0.1291,0.015422707102725723,0.3150
319,Real Parque,0.0571,0.0941,0.2019,0.01074343285907455,0.6029
320,Paraisópolis,0.4677,0.2189,0.1198,0.017404822859824698,0.2132
321,Jardim Vitória Régia,0.2710,0.1430,0.2310,0.01780057280356377,0.7780
322,Vila Suzana,0.2498,0.1494,0.2056,0.014449922004081562,0.4395
323,Parque Arariba,0.3971,0.2149,0.1087,0.016666217861546186,0.2563
324,Jardim Mitsutani,0.4519,0.3129,0.2231,0.016797012496658006,0.1565
325,Pirajussara,0.2537,0.3058,0.1117,0.012985695298509905,0.2298
326,Jardim Umarizal,0.3233,0.1650,0.1128,0.01418111979442161,0.2074
327,Portal do Morumbi,0.1249,0.0201,0.0647,0.007281702792273115,0.5526
328,Jardim Jussara,0.1435,0.1177,0.1508,0.011134374176522749,0.5285
329,Vila Sônia,0.2179,0.1546,0.2112,0.016755177447927386,0.4167
330,Jardim Maria do Carmo,0.2678,0.0770,0.1375,0.013346342270325584,0.2474
331,Jardim Cambará,0.2671,0.1375,0.1303,0.023091023448785244,0.2741
332,Jardim João XXIII,0.2769,0.2290,0.1317,0.02248754084928034,0.1900
333,Raposo Tavares,0.1264,0.0676,0.0849,0.013047726577662198,0.1993
334,Rio Pequeno,0.2323,0.1451,0.1522,0.011817199109827101,0.2029
335,Jardim Ester Yolanda,0.2557,0.1235,0.1001,0.012739493632417066,0.2910
336,Jardim Adalgiza,0.2887,0.0732,0.1021,0.022462535992567787,0.2213
337,Parque Continental,0.1427,0.1121,0.1510,0.010885768197284472,0.3793
338,Jaguaré,0.1998,0.1124,0.2148,0.020698251006445484,0.2309
339,Cidade Universitária,0.0000,0.9549,0.2661,0.028109305845943153,0.0000
340,Butantã,0.0490,0.0323,0.1346,0.00995914591103272,0.6644
341,Jardim Caxingui,0.0668,0.0655,0.0870,0.008659374224609011,0.4633
342,Jardim Bonfiglioli,0.2261,0.0932,0.1471,0.015386161542915068,0.3857
365,Várzea do Palácio,0.0298,0.0057,0.1628,0.031100271398867858,0.2509
